indice_tiempo;provincia_codigo;provincia_nombre;establecimientos;habitaciones;plazas
2020;6;Buenos Aires;4832;74535;229038
2020;10;Catamarca;311;2546;9005
2020;22;Chaco;149;2647;6606
2020;26;Chubut;832;4937;20848
2020;2;Ciudad Autónoma de Buenos Aires;626;32132;72902
2020;18;Corrientes;676;5353;18803
2020;14;Córdoba;2786;30566;91881
2020;30;Entre Ríos;1439;8865;40675
2020;34;Formosa;83;1397;3449
2020;38;Jujuy;416;3820;11209
2020;42;La Pampa;209;2245;6603
2020;46;La Rioja;196;1930;5972
2020;50;Mendoza;904;9384;35459
2020;54;Misiones;584;6809;24289
2020;58;Neuquén;762;7339;24901
2020;62;Río Negro;1871;11271;54536
2020;66;Salta;520;7738;21245
2020;70;San Juan;317;2236;9226
2020;74;San Luis;568;4063;18439
2020;78;Santa Cruz;515;6082;16865
2020;82;Santa Fe;665;8947;26475
2020;86;Santiago del Estero;317;7645;18722
2020;94;Tierra del Fuego;191;2525;7589
2020;90;Tucumán;210;3955;11226
2021;6;Buenos Aires;4799;74131;229442
2021;10;Catamarca;322;2402;8981
2021;22;Chaco;146;2557;6369
2021;26;Chubut;829;4826;20379
2021;2;Ciudad Autónoma de Buenos Aires;601;31386;71024
2021;18;Corrientes;678;5401;18948
2021;14;Córdoba;2786;30482;91167
2021;30;Entre Ríos;1433;8764;40391
2021;34;Formosa;80;1310;3252
2021;38;Jujuy;426;3859;11440
2021;42;La Pampa;211;2245;6621
2021;46;La Rioja;202;1973;6249
2021;50;Mendoza;825;9226;33683
2021;54;Misiones;613;6904;24831
2021;58;Neuquén;746;7243;24600
2021;62;Río Negro;1863;11169;54075
2021;66;Salta;510;7338;20396
2021;70;San Juan;307;1918;8380
2021;74;San Luis;565;4059;18237
2021;78;Santa Cruz;522;6251;17263
2021;82;Santa Fe;660;9026;27029
2021;86;Santiago del Estero;321;7771;18963
2021;94;Tierra del Fuego;220;2520;7178
2021;90;Tucumán;209;3955;11152
2022;6;Buenos Aires;4796;73705;228649
2022;10;Catamarca;322;2416;9008
2022;22;Chaco;145;2539;6307
2022;26;Chubut;827;4829;20321
2022;2;Ciudad Autónoma de Buenos Aires;609;31611;71129
2022;18;Corrientes;678;5406;18968
2022;14;Córdoba;2817;30316;91265
2022;30;Entre Ríos;1441;8675;40452
2022;34;Formosa;81;1342;3294
2022;38;Jujuy;427;3855;11450
2022;42;La Pampa;206;2183;6427
2022;46;La Rioja;208;1942;6223
2022;50;Mendoza;820;9324;33834
2022;54;Misiones;619;7180;25384
2022;58;Neuquén;742;7171;24444
2022;62;Río Negro;1873;11466;54950
2022;66;Salta;512;7418;20631
2022;70;San Juan;311;1994;8531
2022;74;San Luis;559;4297;18040
2022;78;Santa Cruz;509;6317;17358
2022;82;Santa Fe;654;8896;26963
2022;86;Santiago del Estero;317;7275;17916
2022;94;Tierra del Fuego;247;2531;7549
2022;90;Tucumán;209;3963;11184
2023;6;Buenos Aires;4806;73775;228530
2023;10;Catamarca;326;2567;9446
2023;22;Chaco;153;2630;6535
2023;26;Chubut;832;4776;20322
2023;2;Ciudad Autónoma de Buenos Aires;584;30835;69309
2023;18;Corrientes;678;5386;18862
2023;14;Córdoba;2850;30391;92476
2023;30;Entre Ríos;1463;8707;40505
2023;34;Formosa;90;1410;3499
2023;38;Jujuy;428;3724;11558
2023;42;La Pampa;207;2155;6368
2023;46;La Rioja;202;1873;5968
2023;50;Mendoza;814;9389;33897
2023;54;Misiones;616;7090;25117
2023;58;Neuquén;767;7275;24848
2023;62;Río Negro;1857;11423;54493
2023;66;Salta;510;7353;20432
2023;70;San Juan;349;2083;9113
2023;74;San Luis;552;4209;17741
2023;78;Santa Cruz;508;6291;17313
2023;82;Santa Fe;650;8807;26737
2023;86;Santiago del Estero;318;7357;18082
2023;94;Tierra del Fuego;248;2454;7462
2023;90;Tucumán;221;4038;11452